넘치도록	버래기
오다가.	오당그네.
이렇게 하고, 저렇게 하고 하십시오.	영 호곡, 정 호곡 홉서.
왜, 그렇게 숨차게 말하는가?	무사, 경 숨 고끼멍 고람서?
짐을 진 사람이 짐 부릴 곳을 찾는 법이네.	짐 진놈이 팡을 촛주게.
그러니, 걱정 말고서 가만히 있게.	게난, 걱정 말앙 고만이 이서.
저기, 요새 애들 옷 입고서 다니는 것 보십시오.	저기, 요새 애들 옷 입언 댕기는 거 봅서.
허벅다리도 내 놓고.	허벅지도 내 놓곡.
배꼽도 내 놓고.	베또롱도 내 놓곡.
그게, 무슨 별짓들이야!	그거, 무슨 요망들이라!
그러지 말고, 모조리 벗고서 다니지.	경 말앙, 몬뜰락 벗엉 댕기주 게.
좀 실례합니다.	호꼼 미안하우다.
이 것이 얼마입니까?	이게 얼마꽈?
오천원 입니다.	오천원 마씀.
조금만 싸게 안될까요?	호꼼만 싸게 안되카 마씀?
그렇게 해야, 다시 올 거 아닙니까?	경 해사, 다시 올 거 아니꽈?
한라산으로 가려 하면 어떻게 갑니까?	한락산드레 가젱 호민 어떵 갑니까?
바다에는 어떻게 갑니까?	바당드렌 어떵 갑니까?
차를 타려고 하면, 많이 가야 합니까?	차 타젱 호민, 하영 가사 홉니까?
제주도엔 가다가 봐도 바다입니다, 예!	제주도엔 가당 봐도 바당이우다, 양!
들어 와서, 놀다가 가십시오.	들어 왕, 놀당 갑서.
그렇게 할까요.	경 호카 마씀.
여기, 불 옆으로 앉으십시오.	여기, 불 조끄띠 안즙서.
따뜻합니다.	똣똣하우다.
정말, 따뜻한 것이 좋습니다.	촘말, 맨도롱혼 게 좋수다.
무엇이라고 귓속말을 하고 있느냐?	무싱거옌 소곤닥 햄시니?
처녀, 시집 보내겠다고 말합니다.	비바리, 씨집 보내키옌 마씀.
그렇게 해야지, 잘 생각했구나.	경 해사주게, 잘 생각했저.
딸은 나이가 들면 빨리 시집보내야 한다.	똘년은 나이 차민 혼저 보내 산다.
그렇게 안절부절 날뛰지 말아라.	경 들럭퀴지 말라.
차근차근 말을 듣고서 생각해라.	초든초든 말 들엉 생각호라.
어떻게 된 일인지 알아야 할 것이 아니냐?	어떵 혼 일인지 알아사 홀 꺼 아닌가?
그렇게 하다가 숨 넘어 가겠다!	경 하당 숨 넘어 가키여!
달콤한 거 없습니까?	돌코롬 혼 거 엇수과?
글쎄, 어떤 것이 달콤할까?	게메, 어떵 것이 돌코롬 호코?
사탕을 주면 어떻습니까?	사탕을 주카 마씀?
아닙니다.	아니우다.
그럼 삶은 달걀이나 하나 주십시오.	게민 솔문 독새기나 호나 줍서.
어디로 가십니까? 이리로 오십시오.	어드레 감쑤과? 이래 옵서.
걱정하면서 살지 마십시오.	저들멍 살지 맙서.
이렇게 살아도 한 세상, 저렇게 살아도 한 세상.	영 살아도 혼 세상, 정 살아도 혼 세상.
둘이 둥실 너하고 나하고 사랑이나 합시다. 	두리 둥실 느영 나영 소랑이나 호게마씀.
앞 나무에 앉은 새야, 왜 그리 울고 있느냐?	앞 낭에 아진 새야, 무사 경 울엄시냐?
서울 간 우리 남편, 빨리 오라고 울고 있느냐?	서울간 우리 서방, 재게 오랜 울엄시냐?
저승 간 우리 어머니, 그리워서 울고 있느냐?	저승 간 우리 어멍, 그리원 울엄시냐?
내 마음, 아는 건 저 새 뿐이로구나.	내 모심, 아는 건 저 생이 뿐이구나.
저기 봐라, 너희 아버지, 어머니 함께 가네.	저기 보라, 느네 아방, 어멍 혼디 감쩌.
글쎄, 어디 가고 있는가?	게메, 어디 감신고?
할아버지, 할머니는 없네!	하르방, 할망은 어신게!
친족집에 상을 당해서 가고 있을겁니다.	괸당집이 상 난에 감실거우다.
무엇을 하십니까?	무싱거 하미꽈?
빨리 오십시오. 왜 그렇게 바쁘게 보채느냐?	도르멍 옵서. 무사 경 다울렴디?
해 저물면 어떻게 합니까?	해 저물민 어떵 홉니까?
캄캄하면 길 잃어버려 큰 일 납니다.	왁왁호민 질 잃어부렁 큰 일 납니다.
가서 보라. 너희 새신랑이 왔다.	강 보라. 니네 새서방 왔저.
아이구, 부끄러워서 어떻게 합니까.	아이구, 부치루완 어떵 호코 마씀.
어허. 호강에 넘친 소리 하지 마라.	앗다. 양양게 피우지 말라.
어서 가서 '오셨습니까'하고 인사 해라.	혼저 가그네 '옵디가' 인사 호라.
어디 갔다 오십니까?	어디 갔단 왐수과?
밭에 갔다 온다. 어디에 가느냐?	밭디 갔다 왐쩌. 어드레 감디?
바다에 고기 잡으로 갑니다.	바당에 괴기 낚으레 감쑤다.
파도가 거세더라. 조심하고 일찍 오너라.	절 쎄어서라. 조심호곡 혼저 오래.
이제는, 너의 인생은 네가 알아서 가야 한다.	이젠, 니 인생은 니가 알앙 가야 혼다.
알았습니다. 잘 살겠으니 걱정 마십시오.	알았수다. 잘 살크메 걱정 맙서.
그래. 아는 길도 물으면서 가라.	기여. 아는 질도 들으멍 가라.
조심하면서 가는 길은 편안하다.	조심하멍 가는 질은 펜안혼다.
무엇을 하십니까? 어서 오십시오.	무싱거 하미꽈? 혼저 옵서게.
그래 알았다. 어서 가자.	기여 알았저. 혼저 글라.
쓰러지지는 말고 오십시오.	푸더지질랑 말앙 옵서.
돌, 조심하고 곧장 오십시오.	돌, 조심호곡 고짝 옵세.
제주도 처녀가 그렇게도 좋으냐?	제주도 비바리가 경도 좋으냐?
말로 해서는 모릅니다. 와서 보아야 알 수 있습니다.	고랑은 몰라 마씀. 왕 봐사 알아집니다.
마음도 좋고, 얼굴도 좋고, 집안도 좋습니다.	모심도 좋고, 얼굴도 좋고, 집안도 좋아 마씀.
여보 나 등허리가 가렵다.	여보, 나 등땡이 고렵다.
어디, 이렇게 하세요, 보게.	어디, 영 홉서, 보게.
아이구, 벌레가 물었네요.	아이구, 베렝이 물어싱게 마씸.
약 발라야 하겠습니다. 	약 볼라사 하쿠다.
달아 맨 돼지야!	돌아 맨 도새기야!
너의 신세가 불쌍하구나.	니 신세가 불쌍호다.
아이구, 불에 구워지는 돼지야!	아이구, 기시린 도새기야!
내 걱정은 말고 너 죽어 가는 거나 걱정하거라.	나 걱정 말앙 니 죽어 가능 거나 걱정호라.
죽어 가는 것이 별 것을 다 걱정하고 있니?	죽어 가능 게 벨것 다 걱정햄시니?
돌 구멍으로 보아라.	돌 고냥으로 보라.
꽃들이 모두 모여서 피어 있구나.	꽃들이 모들락 호게 피어 있저.
우리 님의 얼굴도, 꽃이 되어 피고 있구나.	우리 님의 얼굴도, 꽃치 되언 피엄쩌.
사랑 사랑 사랑꽃도 가득하게 피고 있구나.	소랑 소랑 소랑꽃도 고득호게 피엄쩌.
고기, 멍청한 것은 잡아나 먹고 나무, 멍청한 것은 불이나 때고 돌, 멍청한 것은 담이나 쌓는다.	괴기, 멍텅혼 건 잡아나 먹곡 낭, 멍텅혼 건 불이나 솜곡 돌, 멍텅혼 건 담이나 닷나.
사람, 멍청한 것은 아무 것에도 못 쓰겠구나!	사롬, 멍텅혼 건 아무 것에도 못 쓰키여!
너하고 나하고 두 사람이 둥실 낮에 낮이나, 밤에 밤이나, 서로 사랑 이로구나.	느영, 나영, 둘이 둥실 낮에 낮이나, 밤에 밤이나 쌍소랑 이로구나.
아침에 우는 새는, 배가 고파 울고요.	아척에 우는 생인, 배가 고팡 울고요.
저녁에 우는 새는, 님 그리워서 운다.	조녁에 우는 생인, 님 그리웡 운다.
넓은 바다 앞을 재면서, 한 길 두 길 앞으로 가고 깊은 바다 깊이를 재며, 한 길 두 길 들어가면 저승길이 오락 가락.	널븐 바당 앞을 재여, 혼질 두질 나아가곡 짚은 바당 짚일 재여, 혼질 두질 들어가민 저승길이 왔닥 갔닥.
이어도 사나, 이어도 사나, 이어도가 저승길의 반이라 한다.	이어도 사나, 이어도 사나, 이어도가 저승질이 반이옌 혼다.
새신랑 들어 온다.	새서방 들어 왐쩌.
저리로 비켜 서라 이렇게 하십시오.	저리 고쩌 사불라 영 홉서.
조금만 봅시다!	호꼼만 보게마씀!
알맞게 살찐 모습이, 잘 생겼구나.	몰치락 혼게, 잘도 생겼저.
말도 안 듣고, 일도 안 하고, 정말, 그렇게 하면 들러메어 던져 버리겠어.	말도 안 득곡, 일도 안 호곡, 촘말로, 경 호민 뚜러메당 데껴 불키여.
사람은 일을 해야 살 수 있는 거야!	사롬은 일해사 살아 지는거여!
조금씩 먹어라. 숨 넘어간다. 배 고파서 말입니다.	호꼼씩 먹으라. 숨 넘어가키여. 배 고판 마씀.
그렇게 먹다간 숨이 막히겠다! 누가 훔쳐 가지 않으니 천천히 먹어라.	경 먹당은 숨 고끼키여! 누게 도둑질 안하메 촌촌히 먹으라.
사람 있습니까? 누구십니까? 윗 동네 갑돌이 어머니 입니다. 	사롬 있수과? 누게꽈? 웃 동네 갑돌이 어멍 이우다. 
아이구, 어떻게 해서 왔습니까?	아이구, 어떵 호난 와 집디가 게?
우리 딸은 아무것도 모릅니다. 세상 물정 잘 모르는 아이, 어린 아이입니다.	우리 똘은 아무것도 몰라 마씸. 분시 몰른 애기, 설운 애기 우다.
잘 데리고 살아 주십시오. 가르치면서 살아야 할 겁니다.	잘 돌앙 살아 줍서 고르치멍 살아사 할 꺼우다.
무엇을 잘 했다고 큰 소리입니까?	무신 걸 잘 하구랜 큰 소리꽈?
방귀 뀐 놈이 화 내고 있네.	똥 뀐 놈이 성 냄쩌.
누가 입이 없어서 말을 못 하는줄 아는가?	누겐 입 어선 말 못 햄시카 부댄?
지렁이도 밟으면 꿈틀거립니다, 예!	지랭이도 볼부민 꿈틀락홉니다, 양!
제 마음 모르겠습니까? 당신만 보면 가슴이 두근 두근 이러지도 못하고, 저러지도 못하고, 제 마음, 저도 모르겠습니다.	나 모심 몰르쿠과? 당신만 보민 가슴이 금착 금착 영도 못하곡, 정도 못하곡, 나 모심, 나도 몰르쿠다.
언제 오셨습니까? 한 사나흘 되었습니다. 모두 편안 했습니까? 어떻게 살고 있습니까?	어느제 옵디가? 혼 사나흘 됐수다. 다들 펜안 했수과? 어떵 살아 점쑤과?
시집가니까 어땠습니까? 아이고, 말도 마라.	씨집가난 어떵 홉디가? 아이고, 말도 말라.
뭐가 뭔지, 눈앞이 캄캄하니 정신이 없더라. 	무신 거시 무신 건지, 귀 눈이 왁왁해라.
서울에는 언제 가겠습니까? 갈 때는 나를 데리고 가 주십시오.	서울엔 언제 가쿠과? 갈 때랑 날 도랑 가 줍서.
서울 가서 무엇을 하려고? 구경도 하고, 서울 사랑도 해 보려고요.	서울 강 무싱 거 호젠? 구경도 호곡, 서울 소랑도 해 보젠 마씀.
왜, 뭐라고 말하던가요? 살짝 와서 말하십시오. 들어 봅시다.	무사, 무싱 거옌 고릅디가? 솔째기 왕 말홉서, 보저.
글쎄, 말할까, 말까? 속 태우지 말고 빨리 하십시오.	게메, 말호카, 말카? 속 태우지 말앙 확 홉서게.
그럼, 남 한테는 아무 말도 하지 마십시오, 네?	게민, 놈 혼테랑 아무 말도 호지 맙서, 양?
누구 있습니까? 안녕 하십니까? 아버지, 어머니 모두 편안 하셨습니까? 어디 갔다가 오십니까? 요새 어떻게 사십니까? 좋습니까?	누게 있수과? 안녕 하우꽈? 아방, 어멍 다 펜안 했수과? 어디 갔당 왐쑤과? 요새 어떵 살미꽈? 좋수과?
어디로 가십니까? 이리로 오십시오.	어드레 감쑤과? 이래 옵서게.
어서 어서 오십시오. 살짝 살짝 오십시오.	혼저 혼저 옵서게. 솔짝 솔짝 옵서게.
너랑 나랑, 둘이 둥실 사랑이나 합시다요.	느영 나영, 두리 둥실 소랑이나 호게 마씀.
정말로 가시겠습니까?	촘말로 가쿠과?
글세, 어쩔수가 없단다.	게메, 홀수가 엇다게.
그럼, 나 혼자만 어떻게 살라고 하십니까?	게민, 나 혼자만 어떵 살랜 마씀?
어쩔 수 없지 않느냐, 조금만 참고 살고 있어다오. 떠나는 내 마음도 울고 싶단다.	어떵 호느니, 호꼼만 촘앙 살암시라. 떠나는 내 모심도 울어 지키여.
우리 어머니 사는 바다, 우리 목숨을 키운 바다 동쪽으로 가면	우이 어멍 사는 바당, 우리 목숨 키운 바당 동에 가민.
동의 바다, 서쪽으로 가면 서의 바다 바람이 불면 파도가 치고, 비가 오면 날이 저물고	동의 바당, 서에 가민 서의 바당 보름 불민 파도 치곡, 비가 오민 날 저물곡.
하늘같은 용왕님이여, 명주실같이 잔잔한 바다 만들어서 우리 어머니 서러운 가슴, 편안하게 하여 주소서.	하늘 고튼 요왕님아, 명주 바당 맨들어서 우리 어멍 설은 가슴, 펭안호게 호여 줍서.
어떻게 살면 되겠습니까? 왜 그렇게 걱정하면서 사십니까? 참으면서 사십시오. 그러다 보면 살아 갈 수 있습니다.	어떵 살코 마씸? 무사 경 저들멍 살암쑤과? 촘앙 삽서. 경 햄시민 살아짐니다.
어서 오십시오 어서 오너라 잠깐 있으십시오.	혼저 옵서게 혼저 오라게 고만 십서게.
잠깐 있어라 무엇을 하십니까?	고만 시라게 무신 거 햄쑤과?
무엇을 하느냐? 왜 그렇게 급하십니까?	무신 거 햄시니? 무사 경 급호꽈?
왜 그렇게 급하냐? 그래요, 빨리 오십시오.	무사 경 급호냐? 게메 마씸, 확 옵서게.
그래, 빨리 오너라	기여 게, 확 오라게.
색시 구할 때는 마음을 봐라. 얼굴 고운 것은 한 달이여!	새각씨 구홀 때랑 모심을 보라. 얼굴 곱들락 혼 것은 혼 덜이여!
날씬하고 멋진 것은 일 년이야! 마음 착한 건, 십 년이 되고 백 년이 되도 저 소나무 처럼 청청하다.	놀씬호곡 멋진 것은 혼 해여! 모심 착한 건, 십 년이 되곡 백 년이 되도 저 소낭 추룩 청청혼다.
어느 마을에 갑돌이라고 하는 사나이와 갑순이라고 하는 처녀가 살았습니다. 두 사람은 좋아 하면서도 말은 못하고 속으로는 타면서도 그 까짓거 하였답니다. 그렇게 하다가 갑순이가 시집을 가게 되니까 그때야 갑돌이가 `아이구! 어머니!` 하면서 울었습니다.	어느 모실에 갑돌이옌 호는 소나이와, 갑순이옌 호는 비바리가 살았수게. 둘이는 좋아 하멍도 말은 못하곡, 속은 타멍도 그 까짓거 해여십주. 경 호단, 갑순이가 씨집가게 되난, 그제사 갑돌이가 `아이구! 어멍아!` 하멍 울었수게.
그렇게 하더라도 어떻게 합니까? 할 수가 없었습니다. 갑돌이도 화가 나서 장가를 가 버렸습니다. 장가가는 날은 갑순이도 부엌에서 울었습니다. 갑순이 마음도 갑돌이 뿐이었습니다만 어찌 합니까? 사람 팔자는 참으로 모르는 것입니다. 그러니 어떻게 살까? 걱정하면서 살지 마십시오. 살다 보면 타고난 운명대로 다 살기 마련입니다.	경 해도 어떵 해여 마씀, 홀수가 어서십주. 갑돌이도 부에가 난, 장게를 가 부렀수게. 장게 가는 날은 갑순이도 정지에서 울었수게. 갑순이 모심도 갑돌이 뿐이주만 어떵 홉니까? 사롬 팔재 촘, 몰르능거라 마씀. 게난, 어떵 살코? 저들멍 살지 맙서. 살당 보민, 타고난 팔재대로 다 살아 짐니다.
물동이 지고 가는 저 처녀야! 물만 지고 가지 말고 이 총각의 마음도 지고 가다오. 사랑한다고 말은 못하고 돌틈에 숨은 새 같이 가슴만 철렁 철렁!	물 허벅 정 가는 저 비바리야! 물만 지지 말앙, 이 소나이 모심도 정 가도라. 소랑 혼댄 말은 못하곡, 돌고망에 고분 생이고치, 가슴만 톨랑 톨랑!
어떻게 하면 좋겠습니까요? 먹을 수 있는 것이라면 따뜻할 때 후루룩 마셔 버리기나 한다 물이나 된다면 물동이 속으로 풍덩 들어 가기나 한다.	어떵 호민 조코 마씀? 멍는거나 고트민 맨도롱 혼 때 호로록 들여싸 불기나 혼다. 물이나 되시민 허벅 속으로 퐁당 들어가기나 혼다.
이렇게도 못하고, 저렇게도 못하고, 처녀야! 참말로 죽겠다. 총각이 타는 마음을 조금 만이라도 알아다오.	영도 못하곡, 정도 못하곡, 비바리야, 촘말로 죽어 지키여! 소나이 타는 모심을 호꼼 만이라도 알아도라.
우리 제주도 할아버지들이 하시는 말씀이 있습니다. 밭을 살 때는 밭 옆을 보고 사라. 집을 살 때는 이웃들을 보고 사라. 산을 사려면 암반을 보고 사라. 사돈을 맺을 때는 집안의 뿌리를 보고하라.	우리 제주도 하르방들이 호는 말이 있수다. 밭을 살 땐 에염을 보라. 집을 살 땐 이웃을 보라. 산을 사컨 빌레를 보라. 사돈을 홀 땐 근본을 보라.
그리고 우리 어머니들이 가르친 말씀이 있습니다. 어리광 부리지 말라. 경솔하게 나서지 말라. 게으르지 말라. 느림보가 되지 말라. 꾀부리며 잘난 척 말라. 거만하지 말라. 남의 마음 아프게 하지 말라.	그리고 우리 어멍들이 고르친 말이 있수다. 홈생이 말라. 촐람생이질 말라. 간세 말라. 느링테질 말라. 요망진 체 말라. 거들락 거리지 말라. 노미 모심 아프게 호지 말라.
그래야 하는 일들이 편안히 잘된다. 살다 보면 잊어버릴 대가 있습니다만 우리 할아버지, 할머니, 아버지, 어머니들이 하신 말씀들은 정말로 소중한 교훈들입니다.	경해사 호는 일들이 펜안해 진다. 살당 보민 잊어 불 때도 있수다만 우리 하르방, 할망, 아방, 어멍들이 혼 말씀들은 촘말로 소중한 교훈들이우다.
